station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0V680,2020/4/14 00:00,40,355,0.5,18.1,0.62,1013.8,,0,-99,-99,-99,25.2,,15.4,
C0R760,2020/4/14 00:00,336,12,5.9,18,0.72,980.3,,0,-99,-99,-99,20.5,,14.8,
C0F9U0,2020/4/14 00:00,74,267,0.7,17.6,0.58,1010,,0,-99,-99,-99,23,,15.9,
C0AI10,2020/4/14 00:00,76,203,2.1,11.8,0.76,1011.8,,0,-99,-99,-99,21.5,,8.2,
C0V530,2020/4/14 00:00,34,70,0.9,16.4,0.65,1014.4,,0,-99,-99,-99,25.5,,13.6,
C0R790,2020/4/14 00:00,111,6,12.7,20.4,0.66,1005.9,,0,-99,-99,-99,23.4,,16.5,
C0R550,2020/4/14 00:00,38,37,2,17.4,0.73,1015.1,,0,-99,-99,-99,25,,13.7,
C0O810,2020/4/14 00:00,161,18,1.6,15.7,0.87,1000.6,,0,-99,-99,-99,25.8,,12.5,
C0M750,2020/4/14 00:00,10,135,1.5,15.8,0.68,1016.7,,0,-99,-99,-99,22.5,,14.1,
C0R340,2020/4/14 00:00,230,27,1.3,17,0.75,992.1,,0,-99,-99,-99,25.1,,15.3,
C0R750,2020/4/14 00:00,551,44,8.5,15.3,0.83,955.5,,0,-99,-99,-99,20.6,,13.1,
C0SA90,2020/4/14 00:00,497,33,1,15.4,0.76,962,,0.5,-99,-99,-99,20.7,,13.2,
C0U970,2020/4/14 00:00,7,265,1.4,13.4,0.71,1022.2,,0,-99,-99,-99,23.4,,9.9,
C0X300,2020/4/14 00:00,70,57,0.8,13.5,0.91,1009.8,,0,-99,-99,-99,24.4,,10.7,
C0R480,2020/4/14 00:00,57,31,1.1,17.9,0.66,1011.3,,0,-99,-99,-99,26.5,,15.4,
C0A9E0,2020/4/14 00:00,26,148,1.8,15.2,0.54,1018.9,,0,-99,-99,-99,20.6,,11.3,
C0R590,2020/4/14 00:00,72,7,2.3,17.3,0.64,1010.1,,0,-99,-99,-99,25.6,,16.4,
C0G820,2020/4/14 00:00,29,0,0.2,14.2,0.83,1014.2,,0,-99,-99,-99,23.3,,10.7,
C0U600,2020/4/14 00:00,10,289,0.8,13.5,0.59,1020.2,,0,-99,-99,-99,23.1,,8.9,
C0U910,2020/4/14 00:00,17,298,1.5,13.7,0.67,1019.9,,0,-99,-99,-99,21.6,,12.5,
C0V630,2020/4/14 00:00,19,79,1.7,17.8,0.57,1016.2,,0,-99,-99,-99,23.9,,16.4,
C0D650,2020/4/14 00:00,97,79,3.1,15.1,0.41,1008.2,,0,-99,-99,-99,20.1,,11.4,
C0K510,2020/4/14 00:00,10,96,0.5,15.3,0.7,1016.1,,0,-99,-99,-99,22.1,,11.9,
